event_id,factor_id,timestamp,old_status,new_status,experiment_id,reason,code_commit,notes
EVT_000000001,AF_000035,2026-09-10T12:23:26,,FAIL,LEGACY_RESEARCH,REGISTER,,initial status
EVT_000000002,AF_000001,2026-09-10T12:23:26,,ARCHIVED,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000003,AF_000002,2026-09-10T12:23:26,,ARCHIVED,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000004,AF_000003,2026-09-10T12:23:26,,ARCHIVED,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000005,AF_000004,2026-09-10T12:23:26,,VALIDATING,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000006,AF_000005,2026-09-10T12:23:26,,FAIL,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000007,AF_000006,2026-09-10T12:23:26,,FAIL,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000008,AF_000007,2026-09-10T12:23:26,,FAIL,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000009,AF_000008,2026-09-10T12:23:26,,FAIL,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000010,AF_000009,2026-09-10T12:23:26,,FAIL,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000011,AF_000010,2026-09-10T12:23:26,,FAIL,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000012,AF_000011,2026-09-10T12:23:26,,FAIL,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000013,AF_000012,2026-09-10T12:23:26,,ARCHIVED,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000014,AF_000013,2026-09-10T12:23:26,,PROPOSED,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000015,AF_000014,2026-09-10T12:23:26,,SCREENING,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000016,AF_000015,2026-09-10T12:23:26,,SCREENING,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000017,AF_000016,2026-09-10T12:23:26,,SCREENING,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000018,AF_000017,2026-09-10T12:23:26,,SCREENING,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000019,AF_000018,2026-09-10T12:23:26,,SCREENING,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000020,AF_000019,2026-09-10T12:23:26,,SCREENING,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000021,AF_000020,2026-09-10T12:23:26,,SCREENING,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000022,AF_000021,2026-09-10T12:23:26,,SCREENING,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000023,AF_000022,2026-09-10T12:23:26,,SCREENING,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000024,AF_000023,2026-09-10T12:23:26,,SCREENING,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000025,AF_000024,2026-09-10T12:23:26,,SCREENING,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000026,AF_000025,2026-09-10T12:23:26,,SCREENING,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000027,AF_000026,2026-09-10T12:23:26,,SCREENING,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000028,AF_000027,2026-09-10T12:23:26,,FAIL,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000029,AF_000028,2026-09-10T12:23:26,,FAIL,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000030,AF_000029,2026-09-10T12:23:26,,FAIL,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000031,AF_000030,2026-09-10T12:23:26,,FAIL,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000032,AF_000031,2026-09-10T12:23:26,,FAIL,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000033,AF_000032,2026-09-10T12:23:26,,FAIL,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000034,AF_000033,2026-09-10T12:23:26,,ARCHIVED,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000035,AF_000034,2026-09-10T12:23:26,,PROPOSED,,PHASE0_MIGRATION_INITIAL_STATE,,backfilled from Phase 0 status column
EVT_000000036,AF_000027,2026-09-10T12:23:26,FAIL,INVALID,,PHASE0_MIGRATION_INVALID_DUPLICATE_IMPORT,,duplicate legacy import; canonical=AF_000005
EVT_000000037,AF_000028,2026-09-10T12:23:26,FAIL,INVALID,,PHASE0_MIGRATION_INVALID_DUPLICATE_IMPORT,,duplicate legacy import; canonical=AF_000006
EVT_000000038,AF_000029,2026-09-10T12:23:26,FAIL,INVALID,,PHASE0_MIGRATION_INVALID_DUPLICATE_IMPORT,,duplicate legacy import; canonical=AF_000007
EVT_000000039,AF_000030,2026-09-10T12:23:26,FAIL,INVALID,,PHASE0_MIGRATION_INVALID_DUPLICATE_IMPORT,,duplicate legacy import; canonical=AF_000008
EVT_000000040,AF_000031,2026-09-10T12:23:26,FAIL,INVALID,,PHASE0_MIGRATION_INVALID_DUPLICATE_IMPORT,,duplicate legacy import; canonical=AF_000010
