factor_id,factor_name,factor_family,formula,canonical_expression,description,economic_hypothesis,universe,input_fields,lookback,operators,PIT_status,max_source_lag,missing_policy,winsorization,normalization,expression_hash,complexity_depth,complexity_inputs,complexity_interactions,created_date,created_by,experiment_id,discovery_period,validation_period,test_period,status,notes
AF_000001,amount_rank_top10,LIQUIDITY,turnover_rank,turnover_rank,当前 EE15 选股排序用的成交额排名（Top10 候选池）；baseline，不是 Alpha 因子,,A,,,,LEGACY_PIT_REVIEWED,,dropna,none,none,dbebc01906360729,,,,2026-09-09,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,ARCHIVED,LEGACY_RESEARCH baseline; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)
AF_000002,bb_z,BB_CONDITIONAL,bb_z,bb_z,BB 下轨信号定义字段（z-score）；信号入口本身，非额外 Alpha,,A,,,,LEGACY_PIT_REVIEWED,,dropna,none,none,e2f2e19a2b7b89af,,,,2026-09-09,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,ARCHIVED,LEGACY_RESEARCH signal definition; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)
AF_000003,distance_to_lower_band,BB_CONDITIONAL,distance_to_lower_band,distance_to_lower_band,距下轨距离；信号深度描述字段,,A,,,,LEGACY_PIT_REVIEWED,,dropna,none,none,0e8a8a3e5e2b2cba,,,,2026-09-09,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,ARCHIVED,LEGACY_RESEARCH signal definition
AF_000004,market_breadth,BREADTH,"interaction(daily_bb_signal_count,daily_bb_up_ratio)","interaction(daily_bb_signal_count,daily_bb_up_ratio)",市场宽度：当日 BB 信号数量 + 信号日上涨比例；Phase 1 特征重要性名列前茅,,A,,,,LEGACY_PIT_REVIEWED,,dropna,none,none,3020d7ad9a642e94,,,,2026-09-09,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,VALIDATING,"LEGACY_RESEARCH candidate; source=commit 6296cd3 (ML-BB Phase 1, rating B)"
AF_000005,rsi_filter,TREND,"ts_zscore(signal_day_close,20) /* RSI 代理 */","ts_zscore(signal_day_close,20) /* RSI 代理 */",RSI 入场过滤：已审计关闭，无增量,,A,,,,LEGACY_PIT_REVIEWED,,dropna,none,none,,,,,2026-09-09,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,FAIL,"LEGACY_RESEARCH; 原结论""固定止损、周线BB、RSI/MACD、Squeeze/ADX入场过滤等分支均已关闭""; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)"
AF_000006,macd_filter,TREND,"diff(signal_day_close,signal_day_close) /* MACD 代理 */","diff(signal_day_close,signal_day_close) /* MACD 代理 */",MACD 过滤：已审计关闭,,A,,,,LEGACY_PIT_REVIEWED,,dropna,none,none,,,,,2026-09-09,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,FAIL,LEGACY_RESEARCH; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)
AF_000007,squeeze_adx_filter,VOLATILITY,"interaction(bb_z,bb_z) /* Squeeze/ADX 代理 */","interaction(bb_z,bb_z) /* Squeeze/ADX 代理 */",Squeeze / ADX 入场过滤：已关闭,,A,,,,LEGACY_PIT_REVIEWED,,dropna,none,none,,,,,2026-09-09,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,FAIL,LEGACY_RESEARCH; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)
AF_000008,regime_filter,MARKET_CONTEXT,sign(daily_bb_up_ratio) /* regime 代理 */,sign(daily_bb_up_ratio) /* regime 代理 */,简单 regime filter：已关闭,,A,,,,LEGACY_PIT_REVIEWED,,dropna,none,none,,,,,2026-09-09,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,FAIL,LEGACY_RESEARCH; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)
AF_000009,atr_ranking,VOLATILITY,atr14_pct,atr14_pct,ATR 排序：与 amount/随机排序无显著区分（Phase 1 Top-K 重叠）,,A,,,,LEGACY_PIT_REVIEWED,,dropna,none,none,7674f90fd07dd4f5,,,,2026-09-09,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,FAIL,"LEGACY_RESEARCH; source=commit 6296cd3 (ML-BB Phase 1, rating B)"
AF_000010,bad_classifier,BB_CONDITIONAL,cs_rank(drawdown_20) /* BAD 模型代理 */,cs_rank(drawdown_20) /* BAD 模型代理 */,坏单分类器：signal 分层存在（BAD 率 22% vs 11-14%），但 Phase 2 组合价值 p=0.24 不显著、2023 反向,,A,,,,LEGACY_PIT_REVIEWED,,dropna,none,none,,,,,2026-09-09,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,FAIL,"LEGACY_RESEARCH; Phase 2 评级 C; source=commit cc20074 (ML-BB Phase 2, rating C)"
