date,equity,cash,stock_val,etf_sh,etf_val
2020-01-02,1000000.0,1000000.0,0.0,0,0.0
2020-01-03,1000000.0,1000000.0,0.0,0,0.0
2020-01-06,1000000.0,1000000.0,0.0,0,0.0
2020-01-07,1000000.0,1000000.0,0.0,0,0.0
2020-01-08,1000000.0,1000000.0,0.0,0,0.0
2020-01-09,1000000.0,1000000.0,0.0,0,0.0
2020-01-10,1000000.0,1000000.0,0.0,0,0.0
2020-01-13,1000000.0,1000000.0,0.0,0,0.0
2020-01-14,1000000.0,1000000.0,0.0,0,0.0
2020-01-15,1000000.0,1000000.0,0.0,0,0.0
2020-01-16,1000000.0,1000000.0,0.0,0,0.0
2020-01-17,1000000.0,1000000.0,0.0,0,0.0
2020-01-20,1000000.0,1000000.0,0.0,0,0.0
2020-01-21,1000000.0,1000000.0,0.0,0,0.0
2020-01-22,1000000.0,1000000.0,0.0,0,0.0
2020-01-23,1000000.0,1000000.0,0.0,0,0.0
2020-02-03,1000000.0,1000000.0,0.0,0,0.0
2020-02-04,1000000.0,1000000.0,0.0,0,0.0
2020-02-05,1000000.0,1000000.0,0.0,0,0.0
2020-02-06,1000000.0,1000000.0,0.0,0,0.0
2020-02-07,1000000.0,1000000.0,0.0,0,0.0
2020-02-10,1000000.0,1000000.0,0.0,0,0.0
2020-02-11,1000000.0,1000000.0,0.0,0,0.0
2020-02-12,1000000.0,1000000.0,0.0,0,0.0
2020-02-13,1000000.0,1000000.0,0.0,0,0.0
2020-02-14,1000000.0,1000000.0,0.0,0,0.0
2020-02-17,1000000.0,1000000.0,0.0,0,0.0
2020-02-18,1000000.0,1000000.0,0.0,0,0.0
2020-02-19,1000000.0,1000000.0,0.0,0,0.0
2020-02-20,1000000.0,1000000.0,0.0,0,0.0
2020-02-21,1000000.0,1000000.0,0.0,0,0.0
2020-02-24,1000000.0,1000000.0,0.0,0,0.0
2020-02-25,1000000.0,1000000.0,0.0,0,0.0
2020-02-26,1000000.0,1000000.0,0.0,0,0.0
2020-02-27,1000000.0,1000000.0,0.0,0,0.0
2020-02-28,1000000.0,1000000.0,0.0,0,0.0
2020-03-02,1004324.3473688001,609388.3473688001,394936.0,0,0.0
2020-03-03,1012205.3473688001,609388.3473688001,402817.0,0,0.0
2020-03-04,1012018.3473688001,609388.3473688001,402630.0,0,0.0
2020-03-05,1017233.3056688001,813925.3056688001,203308.0,0,0.0
2020-03-06,1014853.3056688001,813925.3056688001,200928.0,0,0.0
2020-03-09,999994.9757582252,205022.67575822514,186829.99999999997,318900,608142.3
2020-03-10,1037837.8630841852,5139.363084185172,393484.0,325300,639214.5
2020-03-11,1026827.0630841852,5139.363084185172,394184.0,325300,627503.7000000001
2020-03-12,985957.3630841852,5139.363084185172,375759.99999999994,325300,605058.0
2020-03-13,958574.6378735052,5059.137873505192,571597.0,209500,381918.5
2020-03-16,905527.6378735052,5059.137873505192,527768.0,209500,372700.5
2020-03-17,895074.7059661252,116.7059661252274,894958.0,0,0.0
2020-03-18,880606.7059661252,116.7059661252274,880490.0,0,0.0
2020-03-19,859740.7059661252,116.7059661252274,859624.0,0,0.0
2020-03-20,869540.7059661252,116.7059661252274,869424.0,0,0.0
2020-03-23,820968.7059661252,116.7059661252274,820852.0,0,0.0
2020-03-24,850354.7059661252,116.7059661252274,850238.0,0,0.0
2020-03-25,899146.7059661252,116.7059661252274,899030.0,0,0.0
2020-03-26,892266.7059661252,116.7059661252274,892150.0,0,0.0
2020-03-27,885774.7059661252,116.7059661252274,885658.0,0,0.0
2020-03-30,885412.7059661252,116.7059661252274,885296.0,0,0.0
2020-03-31,890258.7059661252,116.7059661252274,890142.0,0,0.0
2020-04-01,891100.7059661252,116.7059661252274,890984.0,0,0.0
2020-04-02,907020.7059661252,116.7059661252274,906904.0,0,0.0
2020-04-03,891352.7059661252,116.7059661252274,891236.0,0,0.0
2020-04-07,913428.7059661252,116.7059661252274,913312.0,0,0.0
2020-04-08,902932.7059661252,116.7059661252274,902816.0,0,0.0
2020-04-09,891952.7059661252,116.7059661252274,891836.0,0,0.0
2020-04-10,897159.6275302053,375175.6275302053,521984.0,0,0.0
2020-04-13,880097.4364854803,5034.536485480377,505384.0,201900,369678.89999999997
2020-04-14,934053.7651810003,556338.4651810003,768.0,201900,376947.3
2020-04-15,937082.2651810003,556338.4651810003,768.0,201900,379975.8
2020-04-16,934166.9333971753,5014.733397175325,762.0,496200,928390.2
2020-04-17,954527.1333971752,5014.733397175325,778.0,496200,948734.3999999999
2020-04-20,954519.1333971752,5014.733397175325,770.0,496200,948734.3999999999
2020-04-21,935157.3333971753,5014.733397175325,760.0,496200,929382.6
2020-04-22,924739.1333971753,5014.733397175325,762.0,496200,918962.4
2020-04-23,934158.9333971753,5014.733397175325,754.0,496200,928390.2
2020-04-24,928190.5333971754,5014.733397175325,740.0,496200,922435.8
2020-04-27,947536.3333971753,5014.733397175325,734.0,496200,941787.6
2020-04-28,956441.9333971753,5014.733397175325,708.0,496200,950719.2
2020-04-29,966494.9732726354,3764.9732726353686,203847.0,393000,758883.0
2020-04-30,993063.9732726354,3764.9732726353686,214696.0,393000,774603.0
2020-05-06,987057.9732726354,3764.9732726353686,218122.0,393000,765171.0
2020-05-07,974770.9732726354,3764.9732726353686,215267.0,393000,755739.0
2020-05-08,986983.9732726354,3764.9732726353686,220406.0,393000,762813.0
2020-05-11,998698.8958496654,205069.89584966536,0.0,404500,793629.0
2020-05-12,988018.1559986654,5176.3559986653945,197251.0,406200,785590.7999999999
2020-05-13,977840.7559986655,5176.3559986653945,196010.0,406200,776654.4
2020-05-14,961861.9559986654,5176.3559986653945,191811.0,406200,764874.6
2020-05-15,974005.9559986654,5176.3559986653945,193800.0,406200,775029.6
2020-05-18,994389.5559986653,5176.3559986653945,202810.0,406200,786403.2
2020-05-19,1010636.5559986653,5176.3559986653945,198747.0,406200,806713.2
2020-05-20,995156.9559986654,5176.3559986653945,192610.0,406200,797370.6
2020-05-21,999397.9559986654,5176.3559986653945,194820.0,406200,799401.6
2020-05-22,997060.1559986654,5176.3559986653945,198169.0,406200,793714.7999999999
2020-05-25,1015547.7559986655,5176.3559986653945,203252.0,406200,807119.4
2020-05-26,1024495.6779871254,4558.777987125388,599783.0,208100,420153.9
2020-05-27,1017282.6779871254,4558.777987125388,592570.0,208100,420153.9
2020-05-28,1019818.0779871254,4558.777987125388,590111.0,208100,425148.30000000005
2020-05-29,1022179.2141871253,5055.514187125388,590425.0,210300,426698.69999999995
2020-06-01,1044663.4141871254,5055.514187125388,612068.0,210300,427539.89999999997
2020-06-02,1049898.8964573855,213734.0964573854,407994.0,210300,428170.8
2020-06-03,1054998.0590903354,5005.259090335458,407886.0,311400,642106.7999999999
2020-06-04,1055619.2590903356,5005.259090335458,406016.0,311400,644598.0
2020-06-05,1061465.0590903354,5005.259090335458,406568.0,311400,649891.8
