date,ts_code,name,event_type,shares_before,shares_change,shares_after,cash_before,cash_change,cash_after,price,fee,reason
2020-03-02,601318.SH,,BUY,0,2500,2500,1000000.0,-196046.76,803953.24,78.39831999999998,50.96,initial entry
2020-03-02,300750.SZ,,BUY,0,1400,1400,803953.24,-194564.89,609388.35,138.9388,50.57,initial entry
2020-03-10,300750.SZ,,BUY_ADD,1400,1400,2800,609388.35,-187289.74,422098.61,133.74361,48.68,level 2
2020-03-13,601318.SH,,BUY_ADD,2500,2700,5200,422098.61,-195023.47,227075.14,72.21213999999999,50.69,level 2
2020-03-17,601318.SH,,BUY_ADD,5200,2700,7900,227075.14,-193698.8,33376.34,71.72165,50.35,level 3
2020-03-17,300750.SZ,,BUY_ADD,2800,200,3000,33376.34,-24230.5,9145.84,121.12099999999998,6.3,level 3
2020-03-17,000725.SZ,,BUY,0,2100,2100,9145.84,-8812.89,332.95,4.19419,5.09,initial entry
2020-04-15,300750.SZ,,SELL,3000,-3000,0,332.95,388520.45,388853.4,129.67020000000002,490.15,TAKE_PROFIT_DYN
2020-04-17,601318.SH,,SELL,7900,-7900,0,388853.4,567042.3,955895.7,71.86806,715.37,TAKE_PROFIT_DYN
2020-04-29,000725.SZ,,BUY_ADD,2100,56900,59000,955895.7,-199970.7,755925.0,3.5135099999999992,51.98,level 2
2020-05-11,000725.SZ,,SELL,59000,-59000,0,755925.0,236055.6,991980.6,4.00599,297.81,TAKE_PROFIT_DYN
2020-05-12,002714.SZ,,BUY,0,1700,1700,991980.6,-196597.45,795383.15,115.61549999999998,51.1,initial entry
2020-05-26,000063.SZ,,BUY,0,5300,5300,795383.15,-197992.21,597390.94,37.34731,51.46,initial entry
2020-05-26,002415.SZ,,BUY,0,7100,7100,597390.94,-199121.63,398269.31,28.03801,51.76,initial entry
2020-05-29,002415.SZ,,DIVIDEND,7100,0,7100,398269.31,4970.0,403239.31,,0.0,cash_div=7.0/10 gross=4970.0 (tax settled at sell)
2020-06-04,002714.SZ,,DIVIDEND,1700,0,1700,403239.31,935.0,404174.31,,0.0,cash_div=5.5/10 gross=935.0 (tax settled at sell)
2020-06-04,002714.SZ,,SPLIT,1700,1190,2890,403239.31,0.0,403239.31,,0.0,song=0.0/10 zhuan=7.0/10
2020-06-18,002714.SZ,,TAX_SETTLE,2890,0,2890,404174.31,-93.5,404080.81,,0.0,div tax settlement FIFO rate=93.5
2020-06-18,002714.SZ,,SELL,2890,-2890,0,404174.31,209304.25,613478.57,72.54738,264.17,TAKE_PROFIT_DYN
2020-06-18,000063.SZ,,SELL,5300,-5300,0,613478.57,214535.32,828013.89,40.52943,270.66,TAKE_PROFIT_DYN
2020-06-18,002415.SZ,,TAX_SETTLE,7100,0,7100,828013.89,-994.0,827019.89,,0.0,div tax settlement FIFO rate=994.0
2020-06-18,002415.SZ,,SELL,7100,-7100,0,828013.89,212374.96,1040388.86,30.08988,269.18,TAKE_PROFIT_DYN
2020-09-02,002456.SZ,,BUY,0,11700,11700,1040388.86,-198799.22,841589.63,16.986969999999996,51.67,initial entry
2020-09-04,002456.SZ,,BUY_ADD,11700,12300,24000,841589.63,-199264.81,642324.82,16.19618,51.8,level 2
2020-09-08,002456.SZ,,BUY_ADD,24000,12700,36700,642324.82,-199768.44,442556.38,15.72571,51.93,level 3
2020-09-08,600030.SH,,BUY,0,6600,6600,442556.38,-197919.12,244637.26,29.979949999999995,51.45,initial entry
